username,Subject Name,Enrolled Date,Points
john_doe,Mathematics,2024-09-01,92
jane_smith,English,2024-09-03,87
bob_jones,Physics,2024-09-01,90
alice_brown,Biology,2024-09-03,81
charlie_wilson,Chemistry,2024-09-02,95
emma_davis,Literature,2024-09-04,88
liam_martin,History,2024-09-01,89
olivia_clark,Geography,2024-09-05,83
noah_taylor,Computer Science,2024-09-02,93
sophia_moore,Art,2024-09-06,85
james_white,Philosophy,2024-09-01,91
ava_thomas,Music,2024-09-07,86
william_harris,Economics,2024-09-01,88
mia_lewis,Drama,2024-09-06,82
ethan_walker,Engineering,2024-09-02,94
isabella_hall,Health,2024-09-06,84
alexander_young,Architecture,2024-09-01,90
charlotte_king,Design,2024-09-07,87
daniel_scott,Politics,2024-09-01,92
amelia_adams,Sociology,2024-09-07,85
henry_baker,Law,2024-09-01,89
harper_green,Media Studies,2024-09-06,83
michael_nelson,Statistics,2024-09-01,91
evelyn_mitchell,Ethics,2024-09-07,82
jacob_perez,Robotics,2024-09-01,90
abigail_roberts,Environmental Science,2024-09-07,86
lucas_carter,Data Science,2024-09-01,93
emily_turner,Linguistics,2024-09-07,84
mason_phillips,Astronomy,2024-09-01,88
sophia_lee,Photography,2024-09-06,87